,Ticket Name,Buy Price,Sell Price,Current Price,Base Cost,Total Numbers,Percent of Account,note1,note2,hourly volume ave," hourly volume std",hourly volume std
0,ADBE,451.0,563.5,500.94000244140625,,,,0.0,0,280704.80124223605,,153229.1429713527
1,AMD,136.0,171.0,149.8699951171875,$8503.73,56.0,2.14%,0.0,,4924559.298136646,,3671116.652269698
2,AMD,136.0,171.0,149.8699951171875,$8503.73,56.0,2.14%,0.0,,4924559.298136646,,3671116.652269698
3,AMZN,186.0,211,210.22000122070312,$6360.29,34.0,1.82%,0.0,,4206053.378881987,,4035491.950352037
4,ASML,660.0,899.0,677.1699829101562,$16566.14,22.0,3.80%,0.0,,373077.7267080745,,503950.1810515225
5,BABA,91,99,100.16000366210938,$1710.64,19.0,0.49%,0.0,,2200854.465838509,,2235545.9401424103
6,BIDU,81.0,99.0,93.5199966430664,$6082.89,61.0,1.46%,0.0,next rate to 328,535832.5838509317,,486607.9254043824
7,BITO,17.79,24.09,20.655000686645508,$20018.79,904.0,4.77%,0.0," no stock any more. only buy",1503379.4968944099,,1144760.9738954413
8,CAT,371.0,419,408.3550109863281,,,,0.0,,244354.26086956522,,209885.76816486754
9,COIN,171.0,369,255.58999633789062,$3806.64,11.0,0.72%,0.0,,1591603.7826086956,,1406190.9452863908
10,DE,381.0,404.4,411.260009765625,,,,0.0,in rollover account,97735.77639751552,,69210.34626060029
11,DE,386,414.0,411.260009765625,,,,0.0,"In trust account, below 391",97735.77639751552,,69210.34626060029
12,DIA,401.0,450.0,437.3900146484375,,,,0.0,,425935.85093167704,,342266.34477434406
13,DIA,391.0,450.0,437.3900146484375,,,,0.0,sell_132lot then set 126 to buy,425935.85093167704,,342266.34477434406
14,DIS,89.0,109.0,98.93000030517578,$5523.10,51.0,1.29%,0.0,,855102.6583850932,,459741.5388234065
15,GOOGL,165.0,184,180.82000732421875,$16660.50,100.0,4.61%,last sold 10 on 11/07 @180,,2856601.086956522,,2705295.0160045563
16,ISRG,471.0,544,524.4600219726562,$712.04,2.0,0.27%,0.0,,139031.8260869565,,128834.5456060585
17,IWM,211.0,350,236.32000732421875,,,,0.0,,3257429.795031056,,2862822.169478018
18,IWM,204.0,350,236.32000732421875,,,,0.0,2nd,3257429.795031056,,2862822.169478018
19,KO,63.0,71.0,63.665000915527344,,,,0.0,,1369813.3043478262,,1044896.7800888518
20,LCID,2.1,2.6,2.2200000286102295,$2423.47,800.0,0.45%,last sold 500 on 11/07@2.25,TSMsellmore@229,6843093.440993789,,9113181.677996058
21,LI,19,27.0,25.600000381469727,$3905.44,155.0,1.01%,0.0,2ND,1027560.6832298137,,924866.4472253711
22,LI,21.6,24.99,25.600000381469727,$3905.44,155.0,1.01%,0.0,,1027560.6832298137,,924866.4472253711
23,LULU,306,329.0,315.4200134277344,,,,0.0,,241939.58385093167,,139465.73284818744
24,LVMUY,116.0,139.0,134.77999877929688,$2806.45,20.0,0.69%,0.0,,9317.39751552795,,16686.962295936122
25,LVMUY,120.0,146.0,134.77999877929688,$2806.45,20.0,0.69%,,,9317.39751552795,,16686.962295936122
26,MCD,281.0,319.0,294.7200012207031,,,,0.0,just bought. change low into 12.1 then buy in trust account,511723.7577639752,,773251.1564525686
27,META,561.0,614.0,591.7000122070312,$2558.15,5.0,0.76%,0.0,,1406771.8695652173,,1140479.334294621
28,MRNA,39,59.0,50.279998779296875,$12787.82,42.0,0.54%,,BUY IN TRUST,668771.5031055901,,694980.2932301041
29,MSFT,406.0,444.0,425.510009765625,$14203.61,34.0,3.69%,0.0,,2096303.9937888198,,1769313.876583828
30,NIO,4.1,5.9,5.309999942779541,$163.80,3.0,0.00%,,BUY FROM ROLLOVER IF EVEN LOWER GET SOME FOR TRUST ACCOUNT,7991847.47204969,,7484076.181228826
31,NKE,71.0,84.0,75.91999816894531,,,,0.0,,1122981.7888198758,,587912.3374812185
32,NTDOY,12.1,13.79,13.510000228881836,$2573.50,200.0,0.69%,0.0,,18982.739130434784,,24235.465063755673
33,NTDOY,12.59,14.1,13.510000228881836,$2573.50,200.0,0.69%,,,18982.739130434784,,24235.465063755673
34,NVDA,131.0,149.0,148.88999938964844,$133.38,1.0,0.04%,148,,29167977.50310559,,20917499.868095517
35,PANW,326.0,499,387.0400085449219,$302.31,1.0,0.10%,,,214914.19254658386,,143984.32142200915
36,PDD,111,151.0,125.87000274658203,$5082.41,36.0,1.16%,0.0,,1307169.950310559,,1637221.6691305533
37,QCOM,161.0,199.0,172.9199981689453,$6004.91,33.0,1.46%,,,870686.6894409938,,860887.7342157863
38,QQQ,481.0,600.0,513.5999755859375,,,,0.0," only sell RollOver Account",3775429.795031056,,1949863.2274426587
39,QQQ,387.0,600.0,513.5999755859375,,,,0.0,2ND,3775429.795031056,,1949863.2274426587
40,RBLX,50.5,59,53.11000061035156,$1782.98,37.0,0.50%,,,1251107.2732919254,,1909775.4411681988
41,RIVN,9.1,12.0,10.030099868774414,$8517.58,570.0,1.46%,0.0,,3549866.7267080746,,2736542.7430563755
42,SPY,541.0,599.0,595.5499877929688,,,,0.0,buy in Rollover account,5056000.478260869,,2589104.320315213
43,SQ,66.0,200,75.22000122070312,$3659.05,20.0,0.38%,,buy in trust account-at least 5K,715436.3416149068,,501757.0758232527
44,T,21.6,22.9,22.040000915527344,$4885.33,241.0,1.36%,0.0,sell in trust account. buy in rollover account,3870475.4782608696,,2305133.594022972
45,T,19.0,26.0,22.040000915527344,$4885.33,241.0,1.36%,0.0,only in rollover,3870475.4782608696,,2305133.594022972
46,TOL,146.0,159.0,153.85000610351562,,,,sold 10 on 11-17-2024 @153.33,buy10 in 11-06-2024 @147.02,125768.52795031056,,93296.48887425118
47,TSLA,316.0,364,296.75,$51933.06,226.0,17.12%,0.0,Rollover,11313856.720496895,,11634446.896388084
48,TSLA,335.0,354.0,296.75,$51933.06,226.0,17.12%,0.0,Trust,11313856.720496895,,11634446.896388084
49,TSM,186.0,209.0,201.17999267578125,$8930.39,52.0,2.67%,0.0,,2085699.0745341615,,2685977.4200340984
50,U,17.1,26.1,22.25,$3043.82,106.0,0.60%,0.0,,994445.1739130435,,560837.014555249
51,UAL,71.0,99.0,85.41999816894531,,,,0.0,,1141807.9130434783,,1221581.8699956287
52,UBER,71.0,89.0,73.12000274658203,$1465.60,20.0,0.37%,0.0,,2544021.316770186,,2615715.786782949
53,USB,44.1,54.4,49.560001373291016,$2662.22,63.0,0.80%,0.0,,1052820.5155279504,,862301.8689980478
54,V,291,500,305.760009765625,,,,0.0,,622499.5093167702,,375824.3810155236
55,WMT,74.0,100.0,83.83999633789062,$313.39,6.0,0.13%,0.0,,1268022.0186335405,,591196.6319297822
56,WMT,76.0,94.0,83.83999633789062,$313.39,6.0,0.13%,0.0,,1268022.0186335405,,591196.6319297822
57,XPEV,9.3,15.9,14.220000267028809,$17367.36,919.0,3.34%,sold 91 on 11-17-2024 @14.43,,2020841.341614907,,1830521.4694939598
58,SPY,586,614,,,,,,,,,
